course_branch_id;course_module_id;course_branch_module_order;course_branch_module_name;course_branch_module_desc
"351";"5107";0;"";""
"351";"5110";1;"0.1. Введение в курс.";" Введение в курс"
"351";"5108";2;"0.2. Вася и HR компании.";"Вася и HR компании"
"351";"6475";3;"Пролог";"Пролог: Вася и Урий"
"351";"5114";4;"1.2. Введение в Python.";"Неделя 1. Знакомство с Python.Примерное время изучения: 4 часа."
"351";"5113";5;"1.3. Основы программирования на Python.";"Неделя 2. Основы программирования на Python.Примерное время изучения: 9 часов."
"351";"5115";6;"1.4. Структуры данных.";"Неделя 3. Структуры данных, функции, модули.Примерное время изучения: 10 часов."
"351";"5116";7;"1.6. Массивы. Матричные вычисления.";"Неделя 4. Массивы NumPy. Построение графиков.Примерное время изучения: 10 часов."
"351";"5112";8;"1.1. Кейс раздела.";"Кейс раздела."
"351";"6078";9;"1.8. Контроль раздела. Дополнительные материалы.";"Контроль раздела. Дополнительные материалы.Примерное время изучения: 3 часа."
"351";"6079";10;"2.0. ВВОДНАЯ";"2.0. РЕШЕНИЕ СИСТЕМ УРАВНЕНИЙ.Примерное время изучения раздела: 36 ч"
"351";"8143";11;"Решение уравнений и систем";"Часть 1. Погрешность машинных вычисленийПримерное время изучения - 10 часов"
"351";"6081";12;"2.1. Погрешность машинных вычислений";"2.1. Погрешность машинных вычисленийПримерное время изучения: 5 ч"
"351";"6082";13;"2.2. Формат с плавающей запятой. Оценка погрешности вычислений";"2.2. Формат с плавающей запятой. Оценка параметров точности вычисленийПримерное время изучения: 5 ч"
"351";"6083";14;"2.3. Решение нелинейных уравнений";"2.3. Решение нелинейных уравненийПримерное время изучения: 10 ч"
"351";"6084";15;"2.4. Решение систем (не)линейных уравнений";"2.4. Решение систем (не)линейных уравненийПримерное время изучения: 10 ч"
"351";"6080";16;"2.5. Кейс раздела";"2.5. Кейс разделаПримерное время изучения: 6 ч"
"351";"6085";17;"2.5. Моделирование движения управляемого робота";"3. Аппроксимация функций. ИнтерполяцияПримерное время изучения: 24 ч"
"351";"5117";18;"1.7. Графический анализ данных и функций.";"3.0. Аппроксимация функций. ВведениеПримерное время изучения темы: 3 часа"
"351";"6086";19;"3.1. 1D-интерполяция";"3.1. Одномерная интерполяцияПримерное время изучения темы: 9 часов"
"351";"6087";20;"2D-интерполяция";"3.2. Интерполяция поверхностейПримерное время изучения темы: 8 часов"
"351";"6088";21;"3.3. Кейс";"3.3. Кейс разделаПримерное время изучения темы: 4 часа"
"351";"8088";22;"РАЗДЕЛ 4";"4. Регрессионный анализПримерное время изучения раздела: 12 часов"
"351";"6089";23;"4.1. Линейный регрессионный анализ";"4.1. Линейный регрессионный анализ. Примерное время изучения темы: 8 часов"
"351";"8089";24;"";""
"351";"6090";25;"4.2. Логистическая регрессия";"4.2. Логистическая регрессия. Решение задачи классификацииПримерное время изучения темы: 4 часа"
"351";"6091";26;"Экзамен";"5. Экзаменационный раздел Сдача теста будет проходить в компьютерном классе в присутствии вашего преподавателя или с использованием систем прокторинга. Доступ к тестированию открывается автоматически по графику, который составляет ваш преподаватель. Решение некоторых задач требует вычислений. Вы можете пользоваться онлайн-средой программирования в Python (https://repl.it/languages/python3 или Google Colab). Но все задачи теста можно решать и без применения программирования. Продолжительность итогового теста - 1,5 часа (90 минут)."
"351";"6092";27;"";""
